school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G3_pass_fail,G3_five_levels,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other
1,1,-0.6104313561380328,1,0,1,0.4236808282001794,-0.27799921881900397,-0.7428462472177197,-1.1012245025521892,-0.3930312381065064,0,1,0,0,0,1,1,0,1.1097125406395087,0.7784904924133337,-0.18323955937118624,-0.5425924034095048,-1.007090001771849,0.9976279008890311,0.03087477986722244,12,12,12,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,0.20820914472925112,0,0,1,-1.3214806784338928,-1.18543063119047,-0.7428462472177197,-1.1012245025521892,1.2388344625117083,0,1,0,0,0,0,1,0,1.1097125406395087,0.7784904924133337,0.665879470214935,0.5042680329084616,-0.22929281290341189,0.9976279008890311,-0.8124942070321696,6,6,7,0,5,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,1.026849645596535,1,0,1,0.4236808282001794,-0.27799921881900397,-0.7428462472177197,1.28017348421692,-0.3930312381065064,0,0,0,0,1,1,1,1,1.1097125406395087,0.7784904924133337,-0.18323955937118624,0.5042680329084616,0.5485043759650251,-1.767492956581768,0.03087477986722244,14,16,17,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,0.20820914472925112,1,1,1,1.2962615815172154,1.5368636059239282,0.5774866373918573,-1.1012245025521892,-0.3930312381065064,0,0,0,0,1,1,1,0,0.07940697965220081,-2.100629927272083,-1.8814776185434288,0.5042680329084616,-0.22929281290341189,0.9976279008890311,-0.8124942070321696,12,13,13,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,-0.6104313561380328,1,0,1,1.2962615815172154,1.5368636059239282,0.5774866373918573,1.28017348421692,-0.3930312381065064,0,1,0,0,1,1,1,1,1.1097125406395087,-0.18121631414847192,1.5149984998010564,-0.5425924034095048,1.326301564833462,0.9976279008890311,-0.6016519603073215,10,11,12,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,1.026849645596535,1,0,1,-0.4488999251168567,-0.27799921881900397,0.5774866373918573,0.08947449083236539,-0.3930312381065064,0,1,0,0,0,1,1,1,-3.011509703309723,-0.18121631414847192,-1.8814776185434288,-0.5425924034095048,-1.007090001771849,-1.0762127422140682,0.03087477986722244,8,8,10,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,1,-0.6104313561380328,1,0,1,-1.3214806784338928,-1.18543063119047,0.5774866373918573,0.08947449083236539,-0.3930312381065064,0,1,0,1,1,1,0,1,1.1097125406395087,0.7784904924133337,1.5149984998010564,2.5979889055443945,2.104098753701899,-0.38493252784636844,-0.8124942070321696,7,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,1,1.026849645596535,0,0,1,1.2962615815172154,-0.27799921881900397,0.5774866373918573,-1.1012245025521892,1.2388344625117083,0,0,1,0,1,1,0,0,1.1097125406395087,0.7784904924133337,-0.18323955937118624,2.5979889055443945,0.5485043759650251,-0.38493252784636844,-0.8124942070321696,7,7,0,0,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1,1,-1.4290718570053167,1,1,1,1.2962615815172154,1.5368636059239282,-0.7428462472177197,-1.1012245025521892,-0.3930312381065064,0,1,0,1,1,1,1,0,0.07940697965220081,-0.18121631414847192,-0.18323955937118624,-0.5425924034095048,0.5485043759650251,0.9976279008890311,-0.8124942070321696,12,13,12,1,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,-0.6104313561380328,0,0,1,-1.3214806784338928,-1.18543063119047,0.5774866373918573,-1.1012245025521892,-0.3930312381065064,0,1,0,1,1,1,0,1,-0.9508985813351072,-0.18121631414847192,-0.18323955937118624,-0.5425924034095048,-0.22929281290341189,-1.767492956581768,0.8742437667666145,12,11,11,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
